what,kind,bundleId,bundleVersion,description,time
ws,sysinfo,,,"cocoa",1311260090425
locale,sysinfo,,,"en_US",1311260090425
processors,sysinfo,,,"2",1311260090425
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1311260090425
java.runtime.version,sysinfo,,,"1.6.0_26-b03-383-11A511",1311260090425
java.specification.name,sysinfo,,,"Java Platform API Specification",1311260090425
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1311260090425
java.specification.version,sysinfo,,,"1.6",1311260090425
java.vendor,sysinfo,,,"Apple Inc.",1311260090425
java.version,sysinfo,,,"1.6.0_26",1311260090425
java.vm.info,sysinfo,,,"mixed mode",1311260090425
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1311260090425
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1311260090425
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1311260090425
java.vm.specification.version,sysinfo,,,"1.0",1311260090425
java.vm.vendor,sysinfo,,,"Apple Inc.",1311260090425
java.vm.version,sysinfo,,,"20.1-b02-383",1311260090425
started,bundle,org.eclipse.m2e.usagedata,1.0.0.20110607-2117,"org.eclipse.m2e.usagedata",1311260090432
started,bundle,com.google.gdt.eclipse.designer.hosted.2_2,2.3.2.r37x201106161421,"com.google.gdt.eclipse.designer.hosted.2_2",1311260092469
started,bundle,com.google.gdt.eclipse.designer.hosted.lib,2.3.2.r37x201106161421,"com.google.gdt.eclipse.designer.hosted.lib",1311260092724
started,bundle,com.google.appengine.eclipse.core,2.3.2.r37v201106211634,"com.google.appengine.eclipse.core",1311260094467
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1311260094722
started,bundle,com.google.gdt.eclipse.maven,2.3.2.r37v201106211634,"com.google.gdt.eclipse.maven",1311260109287
started,bundle,com.google.gdt.eclipse.suite,2.3.2.r37v201106211634,"com.google.gdt.eclipse.suite",1311260111195
started,bundle,org.eclipse.core.variables,3.2.500.v20110511,"org.eclipse.core.variables",1311260117591
started,bundle,com.google.gdt.eclipse.designer.UiBinder,2.3.2.r37x201106201351,"com.google.gdt.eclipse.designer.UiBinder",1311260212985
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311261096710
activated,editor,com.google.gwt.eclipse.core,2.3.2.r37v201106211634,"com.google.gwt.eclipse.core.editors.gwtJavaEditor",1311261096758
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311261097343
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311261652783
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311261660949
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311261800886
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311261804683
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311261811260
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311261816687
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311262082764
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311262085330
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311262224904
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311262225222
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1311262231814
